S,Dividend,C_BS,D_BS,C_mkt,D_Blm,R,TTM,Moneyness,D_Optimal,K
5712.69,1.3391,267.0048723,0.576838124,282.95,0.594,4.74185,137,13,0.586906142,5700
5782.76,1.3243,305.990516,0.625459889,323.95,0.644,4.75145,136,83,0.677438659,5700
5929.04,1.2922,402.6450305,0.718981503,422.9,0.736,4.75551,135,229,0.651104922,5700
5973.1,1.2938,432.642163,0.745291285,451.45,0.762,4.74561,134,273,0.650096117,5700
5995.54,1.2888,451.9495406,0.755043683,465.9,0.772,4.76595,133,296,0.521807892,5700
6001.35,1.2884,452.6846763,0.759979232,468.6,0.777,4.76371,130,301,0.754073866,5700
5983.99,1.2925,436.4646354,0.753287161,455.35,0.773,4.7735,129,284,2.673897321,5700
5985.38,1.2904,435.7273321,0.754282431,458.5,0.777,4.73383,128,285,0.995323495,5700
5949.17,1.2985,404.8725578,0.737685053,422.25,0.758,4.77487,127,249,0.65833875,5700
5870.62,1.3163,351.5520643,0.685498834,370.4,0.71,4.77039,126,171,0.37786626,5700
5893.62,1.3109,361.790876,0.703092816,378.85,0.725,4.76812,123,194,0.753861269,5700
5916.98,1.3054,382.4092319,0.713767144,396.3,0.733,4.7679,122,217,-39.81964402,5700
5917.11,1.3051,385.9732203,0.710385712,399.55,0.73,4.77309,121,217,0.689769413,5700
5948.71,1.2982,408.935567,0.728488368,421.2,0.748,4.77303,120,249,0.69792415,5700
5969.34,1.2949,420.0095073,0.74403182,435.45,0.761,4.77997,119,269,0.75031059,5700
5987.37,1.2907,426.5987903,0.75950695,448.5,0.777,4.76095,116,287,0.660849836,5700
6021.63,1.2827,452.1166067,0.778444074,471.0,0.797,4.73591,115,322,1.056240165,5700
5998.74,1.2879,431.2034419,0.768505189,446.6,0.787,4.72437,114,299,0.888171372,5700
6032.38,1.2809,455.8728033,0.789896335,476.1,0.81,4.79975,112,332,0.551884468,5700
6047.15,1.2774,465.2375707,0.798268512,483.9,0.816,4.78404,109,347,1.350130825,5700
6049.88,1.2765,466.0118225,0.80080395,487.3,0.818,4.77944,108,350,0.437404511,5700
